table,field,type,status,rows,source,powers,notes
geo_zip,lng,NUMERIC(9|6),new,,Census ZCTA gazetteer,map/radius,"Optional until radius search exists."
geo_zip_county,zip,CHAR(5) NOT NULL,derive,46960,Census ZCTA-to-County relationship file,county filter,"Many-to-many: 10092 ZIPs touch more than one county. A single county column would silently drop coverage for those."
geo_zip_county,county_fips,CHAR(5) NOT NULL,derive,,Census ZCTA-to-County relationship file,county filter,"FK to geo_county. PRIMARY KEY (zip, county_fips)."
geo_zip_county,is_primary,BOOLEAN NOT NULL,derive,,derived by land area,county display,"Largest land-area part. Used for display; matching should consider every row."
_source,HUD USPS ZIP Crosswalk API,free (token),recommended,,https://www.huduser.gov/hudapi/public/usps,city data,"THE source for USPS city names. Free, requires a registered token. Bearer auth. type=2 (zip-county), query=All returns the whole file. Fields USPS_ZIP_PREF_CITY / USPS_ZIP_PREF_STATE. Updated quarterly. Authoritative and covers all USPS ZIPs."
_source,Census 2024 Gazetteer — counties,free (no auth),recommended,3222,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/,county data,"142 KB zip. Verified reachable. Fields: USPS, GEOID, NAME, ALAND, INTPTLAT, INTPTLONG."
_source,Census 2024 Gazetteer — places,free (no auth),optional,32333,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/,municipality data,"1.2 MB zip. Verified reachable. Legal municipalities + CDPs. Only needed if you later want true municipal boundaries alongside USPS names."
_source,Census 2020 ZCTA-to-County,free (no auth),in use,46960,https://www2.census.gov/geo/docs/maps-data/data/rel2020/zcta520/,ZIP/county,"6.8 MB. Already powers zip_crosswalk.json via backend/scripts/build_zip_crosswalk.py."
_source,SimpleMaps US Zips — Basic,free w/ attribution,alternative,33782,https://simplemaps.com/data/us-zips,city data,"CC BY 4.0 but requires a visible backlink on a public page before production use. Only 33782 ZIPs (ZCTAs only) — misses the same 8796 USPS-only ZIPs we already had to patch. Weaker than HUD for our case."
_source,SimpleMaps US Zips — Pro,$99 one-time,alternative,41545,https://simplemaps.com/data/us-zips,city data,"All USPS ZIPs, no attribution, no redistribution permitted. Buys convenience over HUD, not coverage. 12 months of updates."
_note,county_rates.json overlap,existing asset,have,3216,app/data/landlord_insurance/county_rates.json,,"Already carries geoid + county + state + state_full for 3216 counties (6 short of the gazetteer's 3222). Stores SHORT names (""Autauga"") where the gazetteer stores full (""Autauga County""). Seed geo_county from the gazetteer and leave this file alone — it is load-bearing for insurance estimates."
_note,storage location,decision,new,,,"Postgres, not JSON","zip_crosswalk.json is already 1.4 MB loaded per worker process. Adding cities plus fuzzy autocomplete exceeds what a JSON file should carry. Needs pg_trgm indexes on geo_city.name and geo_city_alias.alias."
_note,does NOT unblock,scope,,,,"lender county filter","A geo database says which counties exist. It cannot say which counties a lender will lend in. Lender county filtering still depends entirely on counties_served in the regenerated lender dataset."
