table,field,type,status,rows,source,powers,notes
geo_zip_county,zip,CHAR(5) NOT NULL,derive,46960,Census ZCTA-to-County relationship file,county filter,"Many-to-many: 10092 ZIPs touch more than one county. A single county column would silently drop coverage for those."
geo_zip_county,county_fips,CHAR(5) NOT NULL,derive,,Census ZCTA-to-County relationship file,county filter,"FK to geo_county. PRIMARY KEY (zip, county_fips)."
geo_zip_county,is_primary,BOOLEAN NOT NULL,derive,,derived by land area,county display,"Largest land-area part. Used for display; matching should consider every row."
_source,HUD USPS ZIP Crosswalk API,free (token),recommended,,https://www.huduser.gov/hudapi/public/usps,city data,"THE source for USPS city names. Free, requires a registered token. Bearer auth. type=2 (zip-county), query=All returns the whole file. Fields USPS_ZIP_PREF_CITY / USPS_ZIP_PREF_STATE. Updated quarterly. Authoritative and covers all USPS ZIPs."
_source,Census 2024 Gazetteer — counties,free (no auth),IN USE,3222,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/,county data,"142 KB zip. Fields: USPS, GEOID, NAME, ALAND, INTPTLAT, INTPTLONG. File is UTF-8 — decoding as latin-1 corrupts ""Doña Ana County"". Rebuild via backend/scripts/build_counties_data.py."
_source,Census 2024 Gazetteer — places,free (no auth),superseded,32333,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/,municipality data,"1.2 MB zip. Not used: the Gazetteer place file has coordinates but no county column, so it cannot answer ""which county is this city in?"". The national place file below can."
_source,Census 2020 national place file,free (no auth),IN USE,31909,https://www2.census.gov/geo/docs/reference/codes2020/place/,city-to-county data,"national_place2020.txt. Carries a COUNTIES field naming every county a place sits in — the field that makes buyer coverage matching possible. Pipe-delimited, latin-1. Rebuild via backend/scripts/build_cities_data.py, seed via scripts/seed_geo_cities.py."
_source,Census 2020 ZCTA-to-County,free (no auth),in use,46960,https://www2.census.gov/geo/docs/maps-data/data/rel2020/zcta520/,ZIP/county,"6.8 MB. Already powers zip_crosswalk.json via backend/scripts/build_zip_crosswalk.py."
_source,SimpleMaps US Zips — Basic,free w/ attribution,alternative,33782,https://simplemaps.com/data/us-zips,city data,"CC BY 4.0 but requires a visible backlink on a public page before production use. Only 33782 ZIPs (ZCTAs only) — misses the same 8796 USPS-only ZIPs we already had to patch. Weaker than HUD for our case."
_source,SimpleMaps US Zips — Pro,$99 one-time,alternative,41545,https://simplemaps.com/data/us-zips,city data,"All USPS ZIPs, no attribution, no redistribution permitted. Buys convenience over HUD, not coverage. 12 months of updates."
_note,county_rates.json overlap,existing asset,have,3216,app/data/landlord_insurance/county_rates.json,,"Already carries geoid + county + state + state_full for 3216 counties (6 short of the gazetteer's 3222). Stores SHORT names (""Autauga"") where the gazetteer stores full (""Autauga County""). Seed geo_county from the gazetteer and leave this file alone — it is load-bearing for insurance estimates."
_note,storage location,decision,new,,,"Postgres, not JSON","zip_crosswalk.json is already 1.4 MB loaded per worker process. Adding cities plus fuzzy autocomplete exceeds what a JSON file should carry. Needs pg_trgm indexes on geo_city.name and geo_city_alias.alias."
_note,Census vintage mismatch,gotcha,resolved,8,,"CT county joins","CT replaced its 8 county governments with 9 planning regions in 2022. The 2024 Gazetteer lists the regions; zip_crosswalk.json (2020 ZCTA vintage) still names the old counties for 445 CT ZIPs. geo_counties carries both vintages, so all 3221 (state,county) pairs the crosswalk references now resolve — it was 86 unresolved before (78 PR + 8 CT). Pinned by test_every_county_named_by_the_zip_crosswalk_resolves."
_note,does NOT unblock,scope,,,,"lender county filter","A geo database says which counties exist. It cannot say which counties a lender will lend in. Lender county filtering still depends entirely on counties_served in the regenerated lender dataset."
_note,matching lives in one module,decision,BUILT,,,"backfill + gap report","app/services/geo_matching.py is the only code that interprets a coverage string. The backfill and scripts/report_buyer_coverage_gaps.py both call it, so coverage-unmatched.csv is exactly the set of strings that did not become directory_service_area rows. Name folding is done in Python, not SQL, so the read path cannot fold differently from the write path."
_note,coverage resolution rate,measurement,BUILT,,,"cash_buyers.coverage[]","90.6% of 9871 strings resolve (87.1% to counties, 3.4% state-wide, 0.1% nationwide). Counties alone reached 59.6%; geo_cities plus suffix/punctuation handling closed the gap. The residual 9.3% would require guessing: buyers with no state on record, counties in a neighbouring state (a Memphis buyer covering ""DeSoto"", which is in Mississippi), and metro nicknames with no legal geography (""Hampton Roads"")."
